2025-12-12 10:38:30 | WARNING  | be30d042-3645-4f56-a47a-54df82127fb3 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:38:30 | WARNING  | be30d042-3645-4f56-a47a-54df82127fb3 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:38:31 | INFO     | 53ce4d17-5a81-4e22-b7fe-8a6495948267 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:38:31 | WARNING  | 53ce4d17-5a81-4e22-b7fe-8a6495948267 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:38:31 | WARNING  | 53ce4d17-5a81-4e22-b7fe-8a6495948267 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:38:31 | INFO     | b96327db-a258-4e1f-9c22-ed0570ab07f7 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:38:31 | WARNING  | b96327db-a258-4e1f-9c22-ed0570ab07f7 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:38:31 | WARNING  | b96327db-a258-4e1f-9c22-ed0570ab07f7 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:39:03 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-12 10:39:46 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-12 10:39:54 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-12 10:40:01 | INFO     | - | src.app:lifespan:18 | Application shutting down...
2025-12-12 10:40:03 | INFO     | caad1775-0be7-41da-a50e-97d306fd9214 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:40:03 | WARNING  | caad1775-0be7-41da-a50e-97d306fd9214 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:40:03 | WARNING  | caad1775-0be7-41da-a50e-97d306fd9214 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:40:17 | INFO     | 4e8727e9-73a5-4566-a904-fb4be837b741 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:40:17 | WARNING  | 4e8727e9-73a5-4566-a904-fb4be837b741 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:40:17 | WARNING  | 4e8727e9-73a5-4566-a904-fb4be837b741 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:40:19 | INFO     | - | src.app:lifespan:18 | Application shutting down...
2025-12-12 10:42:27 | INFO     | - | src.app:lifespan:18 | Application shutting down...
2025-12-12 10:42:32 | INFO     | - | src.app:lifespan:18 | Application shutting down...
2025-12-12 10:42:43 | INFO     | - | src.app:lifespan:18 | Application shutting down...
2025-12-12 10:42:44 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-12 10:42:53 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-12 10:42:55 | INFO     | c09783d9-9623-4519-a0d8-e954a60c968b | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:55 | WARNING  | c09783d9-9623-4519-a0d8-e954a60c968b | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:55 | WARNING  | c09783d9-9623-4519-a0d8-e954a60c968b | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:55 | INFO     | 7bc96388-2f80-4915-9ff7-4a3b83c38753 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:55 | WARNING  | 7bc96388-2f80-4915-9ff7-4a3b83c38753 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:55 | WARNING  | 7bc96388-2f80-4915-9ff7-4a3b83c38753 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:56 | INFO     | cb7af4fa-ae56-43a0-a5d8-897fa179c270 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:56 | WARNING  | cb7af4fa-ae56-43a0-a5d8-897fa179c270 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:56 | WARNING  | cb7af4fa-ae56-43a0-a5d8-897fa179c270 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:56 | INFO     | 2e870a8a-90eb-4794-aa7f-62807ab9fe71 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:56 | WARNING  | 2e870a8a-90eb-4794-aa7f-62807ab9fe71 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:56 | WARNING  | 2e870a8a-90eb-4794-aa7f-62807ab9fe71 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:56 | INFO     | b795a15c-da56-4e8c-8b8d-41c8f6307d4e | src.core.middlewares.logging:dispatch:72 | Request started: GET /
